Date,Flow
1932-12-29,24600
1932-12-30,27700
1932-12-31,27700
1933-01-01,22600
1933-01-02,18000
1933-01-03,14600
1933-01-04,12800
1933-01-05,11500
1933-01-06,10900
1933-01-07,10000
1933-01-08,9120
1933-01-09,9400
1933-01-10,10300
1933-01-11,9700
1933-01-12,9400
1933-01-13,8850
1933-01-14,8300
1933-01-15,7780
1933-01-16,7530
1933-01-17,7280
1933-01-18,7040
1933-01-19,6810
1933-01-20,6580
1933-01-21,6580
1933-01-22,6810
1933-01-23,6810
1933-01-24,6810
1933-01-25,7040
1933-01-26,22200
1933-01-27,53400
1933-01-28,63900
1933-01-29,43600
1933-01-30,33200
1933-01-31,25600
1933-02-01,21200
1933-02-02,18800
1933-02-03,17100
1933-02-04,15800
1933-02-05,16200
1933-02-06,15400
1933-02-07,13900
1933-02-08,15000
1933-02-09,15400
1933-02-10,13200
1933-02-11,13600
1933-02-12,13200
1933-02-13,11500
1933-02-14,11200
1933-02-15,11200
1933-02-16,11500
1933-02-17,10900
1933-02-18,11500
1933-02-19,12200
1933-02-20,14600
1933-02-21,19800
1933-02-22,18800
1933-02-23,18400
1933-02-24,17100
1933-02-25,15000
1933-02-26,13900
1933-02-27,12800
1933-02-28,12500
1933-03-01,13600
1933-03-02,12200
1933-03-03,11200
1933-03-04,10300
1933-03-05,9400
1933-03-06,8850
1933-03-07,8300
1933-03-08,9700
1933-03-09,12800
1933-03-10,11500
1933-03-11,11800
1933-03-12,11500
1933-03-13,10900
1933-03-14,13600
1933-03-15,40000
1933-03-16,49600
1933-03-17,38800
1933-03-18,29900
1933-03-19,23600
1933-03-20,31000
1933-03-21,63900
1933-03-22,70900
1933-03-23,62600
1933-03-24,47200
1933-03-25,34300
1933-03-26,27700
1933-03-27,24600
1933-03-28,21600
1933-03-29,18800
1933-03-30,17100
1933-03-31,15800
1933-04-01,15000
1933-04-02,15000
1933-04-03,15000
1933-04-04,15400
1933-04-05,15000
1933-04-06,14600
1933-04-07,17500
1933-04-08,19800
1933-04-09,29900
1933-04-10,25600
1933-04-11,21200
1933-04-12,23100
1933-04-13,31000
1933-04-14,41200
1933-04-15,35400
1933-04-16,27700
1933-04-17,36500
1933-04-18,63900
1933-04-19,77900
1933-04-20,57400
1933-04-21,89800
1933-04-22,121000
1933-04-23,76000
1933-04-24,52200
1933-04-25,40000
1933-04-26,32100
1933-04-27,26100
1933-04-28,22100
1933-04-29,18800
1933-04-30,16700
1933-05-01,14600
1933-05-02,13200
1933-05-03,16200
1933-05-04,15000
1933-05-05,15000
1933-05-06,15400
1933-05-07,14600
1933-05-08,19300
1933-05-09,33200
1933-05-10,44800
1933-05-11,48400
1933-05-12,43600
1933-05-13,41200
1933-05-14,40000
1933-05-15,33200
1933-05-16,29900
1933-05-17,27700
1933-05-18,33200
1933-05-19,32100
1933-05-20,24100
1933-05-21,19800
1933-05-22,16700
1933-05-23,14300
1933-05-24,12500
1933-05-25,11500
1933-05-26,10600
1933-05-27,11200
1933-05-28,17500
1933-05-29,12800
1933-05-30,11200
1933-05-31,10900
1933-06-01,11200
1933-06-02,10900
1933-06-03,10000
1933-06-04,8580
1933-06-05,7780
1933-06-06,7780
1933-06-07,6810
1933-06-08,7780
1933-06-09,7530
1933-06-10,7530
1933-06-11,6810
1933-06-12,5930
1933-06-13,5930
1933-06-14,8300
1933-06-15,5720
1933-06-16,5320
1933-06-17,5320
1933-06-18,5130
1933-06-19,4760
1933-06-20,4410
1933-06-21,4140
1933-06-22,4010
1933-06-23,3810
1933-06-24,3560
1933-06-25,3440
1933-06-26,3910
1933-06-27,4010
1933-06-28,3470
1933-06-29,3500
1933-06-30,3530
1933-07-01,3300
1933-07-02,3780
1933-07-03,24800
1933-07-04,14300
1933-07-05,9120
1933-07-06,7040
1933-07-07,6580
1933-07-08,5320
1933-07-09,4580
1933-07-10,4940
1933-07-11,4410
1933-07-12,3910
1933-07-13,3350
1933-07-14,6140
1933-07-15,4760
1933-07-16,3660
1933-07-17,3150
1933-07-18,3240
1933-07-19,3880
1933-07-20,3810
1933-07-21,3150
1933-07-22,2790
1933-07-23,2630
1933-07-24,2420
1933-07-25,2470
1933-07-26,3010
1933-07-27,3210
1933-07-28,3880
1933-07-29,4100
1933-07-30,7780
1933-07-31,8040
1933-08-01,7040
1933-08-02,5930
1933-08-03,4940
1933-08-04,4170
1933-08-05,3940
1933-08-06,4760
1933-08-07,4240
1933-08-08,3500
1933-08-09,2980
1933-08-10,3210
1933-08-11,5410
1933-08-12,17500
1933-08-13,5720
1933-08-14,3880
1933-08-15,3690
1933-08-16,3630
1933-08-17,3660
1933-08-18,3660
1933-08-19,3380
1933-08-20,3350
1933-08-21,4940
1933-08-22,4070
1933-08-23,8170
1933-08-24,66700
1933-08-25,86700
1933-08-26,61300
1933-08-27,32100
1933-08-28,19300
1933-08-29,13900
1933-08-30,11200
1933-08-31,9120
1933-09-01,8040
1933-09-02,7530
1933-09-03,6580
1933-09-04,5930
1933-09-05,5930
1933-09-06,7780
1933-09-07,7040
1933-09-08,8300
1933-09-09,6810
1933-09-10,5720
1933-09-11,5130
1933-09-12,4760
1933-09-13,4410
1933-09-14,4380
1933-09-15,4580
1933-09-16,4760
1933-09-17,23300
1933-09-18,26400
1933-09-19,15800
1933-09-20,12500
1933-09-21,10000
1933-09-22,8300
1933-09-23,7040
1933-09-24,6810
1933-09-25,6140
1933-09-26,5520
1933-09-27,4940
1933-09-28,4580
1933-09-29,4580
1933-09-30,4010
1933-10-01,4040
1933-10-02,6360
1933-10-03,6810
1933-10-04,4940
1933-10-05,4040
1933-10-06,3850
1933-10-07,3970
1933-10-08,3850
1933-10-09,3380
1933-10-10,3240
1933-10-11,2980
1933-10-12,2740
1933-10-13,3270
1933-10-14,3320
1933-10-15,3180
1933-10-16,2710
1933-10-17,2820
1933-10-18,4040
1933-10-19,4760
1933-10-20,4070
1933-10-21,3780
1933-10-22,3690
1933-10-23,3300
1933-10-24,3120
1933-10-25,2870
1933-10-26,2760
1933-10-27,2650
1933-10-28,2980
1933-10-29,2790
1933-10-30,2600
1933-10-31,2840
1933-11-01,2600
1933-11-02,2390
1933-11-03,2390
1933-11-04,2570
1933-11-05,2340
1933-11-06,2600
1933-11-07,2930
1933-11-08,3070
1933-11-09,2680
1933-11-10,2790
1933-11-11,2680
1933-11-12,3090
1933-11-13,3150
1933-11-14,2950
1933-11-15,2930
1933-11-16,2370
1933-11-17,2040
1933-11-18,2680
1933-11-19,2740
1933-11-20,2760
1933-11-21,2650
1933-11-22,2650
1933-11-23,2570
1933-11-24,2760
1933-11-25,2740
1933-11-26,2680
1933-11-27,3040
1933-11-28,2680
1933-11-29,2930
1933-11-30,2820
1933-12-01,2630
1933-12-02,2420
1933-12-03,2500
1933-12-04,2500
1933-12-05,2240
1933-12-06,2440
1933-12-07,2470
1933-12-08,2520
1933-12-09,2570
1933-12-10,2570
1933-12-11,2740
1933-12-12,2090
1933-12-13,1840
1933-12-14,2140
1933-12-15,2220
1933-12-16,2340
1933-12-17,2500
1933-12-18,2950
1933-12-19,3440
1933-12-20,7660
1933-12-21,9120
1933-12-22,7040
1933-12-23,6580
1933-12-24,6580
1933-12-25,6580
1933-12-26,5930
1933-12-27,5520
1933-12-28,4140
1933-12-29,3900
1933-12-30,3400
1933-12-31,3100
1934-01-01,3300
1934-01-02,4000
1934-01-03,5930
1934-01-04,10900
1934-01-05,10300
1934-01-06,11800
1934-01-07,17500
1934-01-08,24200
1934-01-09,36500
1934-01-10,27700
1934-01-11,18800
1934-01-12,14300
1934-01-13,11500
1934-01-14,9700
1934-01-15,8850
1934-01-16,7780
